"","source_country","source_country_code","target_country_code","target_country","z","distance","m_levenshtein_distance","cult_dist","gdp_ratio"
"93","Austria","AT","ZA","South Africa",0.00405876886933043,13754.124,97.7,"47.3392",40.0856994607311
"94","Austria","AT","ES","Spain",0.0812279748233603,2469.1064,93.57,"61.29437",15.720993394523
"95","Austria","AT","SE","Sweden",0.0133509826954433,2630.9321,69.35,"88.39117",1.2559554902468
"96","Austria","AT","CH","Switzerland",0.0118607219874818,642.0141,50.86,"30.38091",13.30632118121
"97","Austria","AT","TH","Thailand",0.00708312148254642,14165.618,96.85,"78.07048",36.8368455557849
"98","Austria","AT","TR","Turkey",0.00933604502340586,3235.4282,100.05,"68.77499",32.6509068510779
"99","Austria","AT","UA","Ukraine",0.000850325227483914,2130.7256,93.77,"52.33586",45.3787712736177
"100","Austria","AT","AE","United Arab Emirates",0.00113961112961762,7089.0967,99.14,"74.56119",25.9192455330812
"101","Austria","AT","GB","United Kingdom",0.0491084734470607,2246.5442,72.61,"55.91064",7.80581790065035
"102","Austria","AT","US","United States",0.0948419447025615,13324.092,72.61,"54.79051",10.1578793792998
"103","Belgium","BE","AU","Australia",0.00871788423655644,24115.428,66.45,"54.44263",1.63313061469036
"104","Belgium","BE","AT","Austria",0.00595628949709171,1153.3435,57,"67.20863",4.40323314201635
"105","Belgium","BE","BE","Belgium",0.0862940143714694,0,0,"0",0
"106","Belgium","BE","BR","Brazil",0.00426114533998351,14666.218,95.46,"41.64133",32.3092191851479
"107","Belgium","BE","BG","Bulgaria",0.000931397888520987,2919.36,91.55,"48.23899",31.3680422977797
"108","Belgium","BE","CA","Canada",0.0158756770098402,9169.635,66.45,"53.11309",1.78703910733002
"109","Belgium","BE","CL","Chile",0.000833601110226283,19836.7,93.6,"58.71967",24.4459147605906
"110","Belgium","BE","CO","Colombia",0.00114561940288081,14197.639,93.6,"64.37391",35.3067707133603
"111","Belgium","BE","HR","Croatia",0.0206956610829363,1801.2583,89.21,"47.11687",25.8181193823554
"112","Belgium","BE","CZ","Czech Republic",0.00839189497557409,1266.6589,93.27,"40.86563",14.7055116028635
"113","Belgium","BE","DK","Denmark",0.0157732232421029,1266.292,72.69,"93.24699",2.82514086701215
"114","Belgium","BE","EE","Estonia",0.000675263469177715,2561.9663,99.29,"50.81339",18.8881606279887
"115","Belgium","BE","FI","Finland",0.00220275600635213,3273.897,98.81,"56.36488",3.13800406961632
"116","Belgium","BE","FR","France",0.202942285929838,809.65857,94.15,"14.49138",4.50776115962283
"117","Belgium","BE","DE","Germany",0.0491172676511542,685.8165,57,"44.14748",3.89531495159001
"118","Belgium","BE","GR","Greece",0.0127880930093931,3283.3813,97.3,"44.24929",20.1793454311767
"119","Belgium","BE","HK","Hong Kong",0.00104316563514351,15124.152,98.34,"82.11577",15.110587726652
"120","Belgium","BE","HU","Hungary",0.0134121295947022,1864.8661,99.51,"41.06093",21.5767794479963
"121","Belgium","BE","IS","Iceland",0.00468027438981796,3385.4016,80.56,"72.95204",0.876708507442338
"122","Belgium","BE","IN","India",0.00109439251901216,11906.095,94.12,"61.58734",44.5577537374996
"123","Belgium","BE","ID","Indonesia",0.00573275400384667,19097.818,99.26,"77.9102",38.7383812079129
"124","Belgium","BE","IE","Ireland",0.00989144557609288,1493.909,66.45,"71.21095",7.46327305609449
"125","Belgium","BE","IL","Israel",0.00395378403677159,5297.404,99.53,"57.99138",11.2955672728473
"126","Belgium","BE","IT","Italy",0.104484215134284,1837.8832,90.66,"29.03446",9.51130780067855
"127","Belgium","BE","JP","Japan",0.0107762735701878,15010.453,99.88,"51.44901",7.43314755841604
"128","Belgium","BE","KR","Korea, Republic of",0.00135052693835543,14355.179,101.31,"59.8331",NA
"129","Belgium","BE","MY","Malaysia",0.00100125273016006,17222.312,97.78,"85.45174",20.4675526928337
"130","Belgium","BE","MT","Malta",0.00231918074241726,2901.3171,100.69,"19.74842",15.1941378913918
"131","Belgium","BE","MX","Mexico",0.00253340225677708,14682.905,93.6,"51.47815",30.7748674269942
"132","Belgium","BE","MA","Morocco",0.00554647442614248,3681.9617,99.56,"56.58622",42.3950042199582
"133","Belgium","BE","NL","Netherlands",0.0561632926778155,306.36133,43.33,"63.52165",6.14316471194465
"134","Belgium","BE","NZ","New Zealand",0.00295253130661153,29997.557,66.45,"62.498",7.47643782782403
"135","Belgium","BE","NO","Norway",0.00664086694515464,2815.9463,66.53,"72.41547",26.9173684396039
"136","Belgium","BE","PE","Peru",0.000773060247472419,16192.203,93.6,"60.62178",36.9599395986966
"137","Belgium","BE","PH","Philippines",0.0010338516562583,17259.287,96.06,"72.73238",43.0253784211103
"138","Belgium","BE","PL","Poland",0.00665483791348245,1660.2948,94.65,"18.30301",21.5479000932437
"139","Belgium","BE","PT","Portugal",0.049238349376662,2495.72,95.46,"54.1941",17.1399859316523
"140","Belgium","BE","RO","Romania",0.00241232053126936,2567.0078,91.02,"53.00943",28.0037823878328
"141","Belgium","BE","RU","Russian Federation",0.00133655597002762,8438.91,94.81,"49.0408",20.4708595297624
"142","Belgium","BE","SG","Singapore",0.000847572078554098,16977.17,100.28,"102.6548",48.5542681488082
"143","Belgium","BE","SI","Slovenia",0.00362313778634664,1471.7769,91.99,"60.00833",15.2429215565769
"144","Belgium","BE","ZA","South Africa",0.00388858618457512,14492.153,102.45,"49.61855",35.6824663187147
"145","Belgium","BE","ES","Spain",0.0965813040501837,2088.5652,93.6,"29.12044",11.3177602525067
"146","Belgium","BE","SE","Sweden",0.00772128849583898,2456.8481,72.63,"88.30628",3.14727765176955
"147","Belgium","BE","CH","Switzerland",0.00712985083662815,794.1344,69.25,"50.6162",17.7095543232263
"148","Belgium","BE","TH","Thailand",0.00464301847427712,15095.538,98.71,"65.77233",32.4336124137686
"149","Belgium","BE","TR","Turkey",0.0044381109388025,4379.9165,102.15,"40.08741",28.2476737090615
"150","Belgium","BE","UA","Ukraine",0.000465698944260493,3111.9963,98.11,"32.87321",40.9755381316014
"151","Belgium","BE","AE","United Arab Emirates",0.000963996814619221,8233.595,99.09,"58.00224",30.3224786750975
"152","Belgium","BE","GB","United Kingdom",0.0458946309568716,1133.2917,66.45,"68.70953",3.402584758634
"153","Belgium","BE","US","United States",0.062510769288086,12186.758,66.45,"57",14.5611125213161
"154","Brazil","BR","AU","Australia",0.00545597957058129,24771.594,95.45,"67.54258",33.9423497998383
"155","Brazil","BR","AT","Austria",0.0037956535191504,15307.531,94.09,"67.74216",36.7124523271643
"156","Brazil","BR","BE","Belgium",0.00648442300401354,14666.218,95.46,"41.64133",32.3092191851479
"157","Brazil","BR","BR","Brazil",0.400787892257477,0,0,"0",0
"158","Brazil","BR","BG","Bulgaria",0.000204817124454729,16384.523,91.05,"15.06652",0.941176887368189
"159","Brazil","BR","CA","Canada",0.0190305613296553,15005.497,95.45,"58.79626",34.0962582924779
"160","Brazil","BR","CL","Chile",0.0297420611575218,5175.2793,67.96,"28.3196",7.86330442455736
"161","Brazil","BR","CO","Colombia",0.00331629429170316,5037.845,67.96,"29.49576",2.99755152821236
"162","Brazil","BR","HR","Croatia",0.00559107171649824,15407.214,94.47,"11.74734",6.49109980279249
"163","Brazil","BR","CZ","Czech Republic",0.00588304506412519,15698.822,95.3,"39.69887",17.6037075822844
"164","Brazil","BR","DK","Denmark",0.00292844909858676,15844.648,94.81,"88.2893",35.1343600521601
"165","Brazil","BR","EE","Estonia",0.000204817124454729,17202.975,97.96,"44.06813",13.4210585571593
"166","Brazil","BR","FI","Finland",0.000640598240315854,17612.182,98.17,"52.33546",29.1712151155316
"167","Brazil","BR","FR","France",0.074422698966763,14008.98,78.74,"35.01428",27.8014580255251
"168","Brazil","BR","DE","Germany",0.0246739267800569,15303.005,94.09,"49.06119",36.2045341367379
"169","Brazil","BR","GR","Greece",0.00363005669512317,15913.121,90.18,"38.07887",12.1298737539713
"170","Brazil","BR","HK","Hong Kong",0.000461927982812793,29616.35,99.07,"49.42671",47.4198069117999
"171","Brazil","BR","HU","Hungary",0.00419221433458403,15945.944,98.06,"62.04837",10.7324397371516
"172","Brazil","BR","IS","Iceland",0.000758259141598358,14908.749,96.79,"64.82284",33.1859276925903
"173","Brazil","BR","IN","India",0.000296331158785565,24629.967,89.18,"38.84585",12.2485345523517
